medium location target_lum f2 f3 e3 start_int start_lum n_changes match_int match_lum
shadow e3 0.171 0.065 0.490 0.171 0.606919320992 303.083067805 15 0.0469193209925 23.4305471153
shadow f2 0.065 0.065 0.490 0.171 0.407244445255 203.369527951 13 0.0022444452546 1.12082995179
shadow f3 0.490 0.065 0.490 0.171 0.384638209904 192.080437416 12 0.104638209904 52.2541770715
transp_med e3 0.092 0.305 1.023 0.092 0.0960592804502 47.9700355599 2 0.19605928045 97.907985683
transp_med f2 0.305 0.305 1.023 0.092 0.864239686963 431.58358382 17 0.224239686963 111.980703032
transp_med f3 1.023 0.305 1.023 0.092 0.70043346426 349.782114028 5 0.45043346426 224.93723872
transp_med e3 1.023 0.171 0.092 1.023 0.211391685056 105.564674248 9 0.386391685056 192.956086963
transp_med f2 0.171 0.171 0.092 1.023 0.474480581102 236.945875935 24 0.254480581102 127.082385664
transp_med f3 0.092 0.171 0.092 1.023 0.244925450028 122.310749074 23 0.204925450028 102.335569024
transp_dark e3 1.369 1.023 0.065 1.369 0.481528845475 240.465634682 1 0.531528845475 265.434609743
transp_dark f2 1.023 1.023 0.065 1.369 0.221010456919 110.368091743 4 0.321010456919 160.306041866
transp_dark f3 0.065 1.023 0.065 1.369 0.397990360625 198.748227784 7 0.0479903606249 23.9654023528
plain e3 1.369 1.023 0.171 1.369 0.891684010469 445.288716404 10 0.501684010469 250.530710924
plain f2 1.023 1.023 0.171 1.369 0.707907411002 353.514449824 10 0.417907411002 208.694394467
plain f3 0.171 1.023 0.171 1.369 0.10844875036 54.1570828637 11 0.0634487503595 31.6850053083
plain e3 0.092 0.730 2.220 0.092 0.214461370783 107.097612375 6 0.024461370783 12.2155071411
plain f2 0.730 0.730 2.220 0.092 0.276785199345 138.220854797 12 0.301785199345 150.705342328
plain f3 2.220 0.730 2.220 0.092 0.284815699277 142.231121848 8 0.684815699277 341.982922341
transp_dark_steep e3 1.369 1.023 0.730 1.369 0.380130312315 189.829285767 5 0.630130312315 314.674161075
transp_dark_steep f2 1.023 1.023 0.730 1.369 0.464601277777 232.012354368 0 0.464601277777 232.012354368
transp_dark_steep f3 0.730 1.023 0.730 1.369 0.744918025319 371.996791942 6 0.444918025319 222.182941573
plain e3 1.369 0.305 0.490 1.369 0.707173269501 353.147834607 7 0.577173269501 288.228499447
plain f2 0.305 0.305 0.490 1.369 0.335429728142 167.506730338 7 0.150429728142 75.12152261
plain f3 0.490 0.305 0.490 1.369 0.707987063318 353.554226558 21 0.162987063318 81.3923983868
transp_med e3 2.220 0.490 0.730 2.220 0.261944763937 130.809845565 7 0.611944763937 305.592670996
transp_med f2 0.490 0.490 0.730 2.220 0.285296387502 142.471167694 13 0.295296387502 147.464962706
transp_med f3 0.730 0.490 0.730 2.220 0.156228381173 78.0172510684 8 0.281228381173 140.439688722
shadow e3 0.305 0.092 1.768 0.305 0.622446985352 310.837265088 16 0.0574469853519 28.6878468923
shadow f2 0.092 0.092 1.768 0.305 0.422330922733 210.903405549 15 0.01 4.99379501231
shadow f3 1.768 0.092 1.768 0.305 0.681575475012 340.364820763 1 0.631575475012 315.395845702
transp_dark e3 0.490 0.305 1.768 0.490 0.853691549862 426.316060375 25 0.148691549862 74.2535120072
transp_dark f2 0.305 0.305 1.768 0.490 0.926447788153 462.649034365 63 0.131447788153 65.6423308856
transp_dark f3 1.768 0.305 1.768 0.490 0.744084010996 371.580302285 10 0.569084010996 284.18888957
