medium location target_lum f2 f3 e3 start_int start_lum n_changes match_int match_lum
transp_med_steep e3 1.369 0.092 2.220 1.369 0.0414443915066 20.6964795594 23 0.34 169.789030419
transp_med_steep f2 0.092 0.092 2.220 1.369 0.450366667828 224.903881951 12 0.045 22.4720775554
transp_med_steep f3 2.220 0.092 2.220 1.369 0.352887394298 176.224730955 10 0.632887394298 316.0509913
transp_dark_steep e3 1.369 0.171 0.730 1.369 0.481274013987 240.33837706 4 0.391274013987 195.39422195
transp_dark_steep f2 0.171 0.171 0.730 1.369 0.173762640713 86.7735008518 10 0.0587626407127 29.3448582101
transp_dark_steep f3 0.730 0.171 0.730 1.369 0.862984499843 430.956769102 15 0.222984499843 111.353888314
transp_med_steep e3 0.305 0.490 1.369 0.305 0.352761419954 176.161821951 8 0.152761419954 76.2859217042
transp_med_steep f2 0.490 0.490 1.369 0.305 0.0364618520443 18.2083014879 3 0.186461852044 93.1152266726
transp_med_steep f3 1.369 0.490 1.369 0.305 0.247985938698 123.839094379 7 0.597985938698 298.62191981
transp_med e3 0.092 0.305 1.023 0.092 0.486803926718 243.099902122 12 0.0768039267181 38.3543066171
transp_med f2 0.305 0.305 1.023 0.092 0.462379737481 230.902962683 14 0.0923797374814 46.1325472274
transp_med f3 1.023 0.305 1.023 0.092 0.495757863951 247.571314831 15 0.395757863951 197.633364708
plain e3 2.220 0.305 0.171 2.220 0.702284977093 350.706721583 11 0.905 451.938448614
plain f2 0.305 0.305 0.171 2.220 0.787643625569 393.333080885 21 0.112643625569 56.2519175538
plain f3 0.171 0.305 0.171 2.220 0.445452247968 222.449721412 15 0.075 37.4534625924
transp_dark_steep e3 0.065 2.220 1.768 0.065 0.509063914961 254.216083948 16 0.03 14.9813850369
transp_dark_steep f2 2.220 2.220 1.768 0.065 0.389541251048 194.528915657 7 0.594541251048 296.90171341
transp_dark_steep f3 1.768 2.220 1.768 0.065 0.985706847419 492.241793825 16 0.510706847419 255.03653074
transp_med e3 2.220 0.171 0.092 2.220 0.294527012419 147.080752561 7 0.589527012419 294.397705424
transp_med f2 0.171 0.171 0.092 2.220 0.74188615724 370.482739173 15 0.10188615724 50.8798583846
transp_med f3 0.092 0.171 0.092 2.220 0.431616646999 215.540505902 25 0.03 14.9813850369
transp_med e3 1.768 0.730 1.369 1.768 0.751101944393 375.084914365 18 0.636101944393 317.656271723
transp_med f2 0.730 0.730 1.369 1.768 0.804840566012 401.920880426 9 0.354840566012 177.200104872
transp_med f3 1.369 0.730 1.369 1.768 0.784324907204 391.675780963 7 0.544324907204 271.824700667
transp_dark e3 1.369 1.023 0.065 1.369 0.934103343844 466.472061947 7 0.584103343844 291.689236516
transp_dark f2 1.023 1.023 0.065 1.369 0.926395844044 462.623094541 13 0.331395844044 165.492291309
transp_dark f3 0.065 1.023 0.065 1.369 0.603438461527 301.344797941 13 0 0.0
transp_dark e3 1.768 0.490 1.023 1.768 0.254820178068 127.251973427 11 0.804820178068 401.910699105
transp_dark f2 0.490 0.490 1.023 1.768 0.344169799135 171.871342631 14 0.0891697991348 44.5295698168
transp_dark f3 1.023 0.490 1.023 1.768 0.21105017994 105.394133593 3 0.22605017994 112.884826112
transp_med e3 1.023 0.065 0.305 1.023 0.365596793647 182.571544463 3 0.460596793647 230.01259708
transp_med f2 0.065 0.065 0.305 1.023 0.720318856329 359.712471201 15 0.0703188563294 35.1157954009
transp_med f3 0.305 0.065 0.305 1.023 0.702657711521 350.892857516 9 0.252657711521 126.172081962
transp_med_steep e3 0.065 0.092 2.220 0.065 0.336464236498 168.023342605 10 0.05 24.9689750616
transp_med_steep f2 0.092 0.092 2.220 0.065 0.441594375606 220.523179037 10 0.05 24.9689750616
transp_med_steep f3 2.220 0.092 2.220 0.065 0.0451544606686 22.5492120471 16 0.745154460669 372.114862909
shadow e3 1.768 1.369 2.220 1.768 0.232824676375 116.267870763 10 0.432824676375 216.143771009
