medium location target_lum f2 f3 e3 start_int start_lum n_changes match_int match_lum
transp_med e3 0.171 2.220 0.730 0.171 0.473852190742 236.63207067 34 0.128852190742 64.3461427452
transp_med f2 2.220 2.220 0.730 0.171 0.464883198201 232.153139649 15 0.614883198201 307.060064833
transp_med f3 0.730 2.220 0.730 0.171 0.88845668155 443.677054498 11 0.33845668155 169.018328821
shadow e3 0.730 0.171 1.023 0.730 0.0890158961963 44.4527138442 14 0.289015896196 144.32861409
shadow f2 0.171 0.171 1.023 0.730 0.711922309092 355.51940763 19 0.05 24.9689750616
shadow f3 1.023 0.171 1.023 0.730 0.156162919256 77.9845607289 4 0.256162919256 127.922510852
shadow e3 0.490 1.023 0.092 0.490 0.111655226206 55.7583311727 0 0.111655226206 55.7583311727
shadow f2 1.023 1.023 0.092 0.490 0.687957623591 343.551934937 6 0.387957623591 193.738084568
shadow f3 0.092 1.023 0.092 0.490 0.784513982904 391.770201492 19 0.05 24.9689750616
shadow e3 0.065 1.768 1.369 0.065 0.929129707337 463.988329829 20 0 0.0
shadow f2 1.768 1.768 1.369 0.065 0.790573411629 394.796155986 18 0.390573411629 195.044355494
shadow f3 1.369 1.768 1.369 0.065 0.168764398129 84.2774809635 2 0.268764398129 134.215431087
shadow e3 1.768 2.220 0.490 1.768 0.514876214211 257.118627049 4 0.414876214211 207.180676926
shadow f2 2.220 2.220 0.490 1.768 0.000672540947476 0.335853162908 17 0.4 199.751800493
shadow f3 0.490 2.220 0.490 1.768 0.576784426097 288.034319022 9 0.126784426097 63.3135434682
transp_med e3 0.171 0.092 0.065 0.171 0.857210039504 428.073121978 19 0.107210039504 53.5384960546
transp_med f2 0.092 0.092 0.065 0.171 0.0903217209471 45.1048159569 2 0.0903217209471 45.1048159569
transp_med f3 0.065 0.092 0.065 0.171 0.52003349489 259.694067302 11 0.0700334948904 34.9732917479
transp_med e3 1.768 0.730 1.369 1.768 0.0714444929376 35.6779152489 16 0.6 299.627700739
transp_med f2 0.730 0.730 1.369 1.768 0.456166256401 227.8000776 3 0.306166256401 152.893152415
transp_med f3 1.369 0.730 1.369 1.768 0.791877269026 395.447275642 4 0.591877269026 295.571375396
transp_med_steep e3 1.768 0.730 2.220 1.768 0.434682311908 217.071436115 8 0.534682311908 267.009386238
transp_med_steep f2 0.730 0.730 2.220 1.768 0.671814635287 335.49045749 9 0.321814635287 160.707632059
transp_med_steep f3 2.220 0.730 2.220 1.768 0.619841670971 309.536224492 0 0.619841670971 309.536224492
transp_med_steep e3 0.065 1.768 0.171 0.065 0.39351556524 196.513606696 19 0.05 24.9689750616
transp_med_steep f2 1.768 1.768 0.171 0.065 0.966304249871 482.552534338 10 0.466304249871 232.862783722
transp_med_steep f3 0.171 1.768 0.171 0.065 0.140914918308 70.3700216206 3 0.0909149183077 45.401046559
shadow e3 0.171 0.065 0.490 0.171 0.644402212825 321.801255633 14 0.05 24.9689750616
shadow f2 0.065 0.065 0.490 0.171 0.722735666078 360.919376448 17 0 0.0
shadow f3 0.490 0.065 0.490 0.171 0.185731053371 92.7502807956 3 0.135731053371 67.781305734
plain e3 1.768 0.092 0.730 1.768 0.461322493935 230.374996928 3 0.511322493935 255.34397199
plain f2 0.092 0.092 0.730 1.768 0.295688938473 147.660994614 5 0.0456889384731 22.8161193065
plain f3 0.730 0.092 0.730 1.768 0.346474539556 173.022282753 4 0.246474539556 123.08433263
transp_dark e3 0.730 0.490 0.092 0.730 0.801023368345 400.014650159 11 0.251023368345 125.355924481
transp_dark f2 0.490 0.490 0.092 0.730 0.250594634443 125.14182356 3 0.100594634443 50.2348983748
transp_dark f3 0.092 0.490 0.092 0.730 0.599711070846 299.483415442 13 0.05 24.9689750616
plain e3 1.369 1.023 0.171 1.369 0.45656598296 227.99969285 6 0.45656598296 227.99969285
plain f2 1.023 1.023 0.171 1.369 0.65361632853 326.402596138 6 0.35361632853 176.588745769
plain f3 0.171 1.023 0.171 1.369 0.998132962842 498.447141147 19 0.0481329628421 24.0366149769
transp_med e3 1.369 0.092 1.768 1.369 0.615028412814 307.132582034 4 0.415028412814 207.256681788
transp_med f2 0.092 0.092 1.768 1.369 0.28598342134 142.814258309 6 0.0859834213401 42.938358063
transp_med f3 1.768 0.092 1.768 1.369 0.61264542214 305.94256534 3 0.56264542214 280.973590278
transp_dark_steep e3 0.171 0.092 1.768 0.171 0.000771481156268 0.385261875026 4 0.05 24.9689750616
transp_dark_steep f2 0.092 0.092 1.768 0.171 0.121523888693 60.6865389234 6 0.05 24.9689750616
transp_dark_steep f3 1.768 0.092 1.768 0.171 0.201481961384 100.615961383 5 0.451481961384 225.460836691
plain e3 1.768 0.171 1.369 1.768 0.713079845352 356.09745751 10 0.9 449.441551108
plain f2 0.171 0.171 1.369 1.768 0.413343742822 206.415392127 7 0.0633437428218 31.6325666965
plain f3 1.369 0.171 1.369 1.768 0.820349375245 409.665661845 6 0.620349375245 309.789761599
transp_dark_steep e3 0.092 0.490 0.065 0.092 0.901333774004 450.107610505 17 0.0513337740038 25.6350344584
transp_dark_steep f2 0.490 0.490 0.065 0.092 0.819282475885 409.132874175 17 0.369282475885 184.412098621
transp_dark_steep f3 0.065 0.490 0.065 0.092 0.868067193505 433.494962128 30 0 0.0
transp_med_steep e3 0.490 0.730 0.171 0.490 0.62002204027 309.626297223 7 0.27002204027 134.843471792
transp_med_steep f2 0.730 0.730 0.171 0.490 0.480615533077 240.009545192 7 0.430615533077 215.04057013
transp_med_steep f3 0.171 0.730 0.171 0.490 0.560879419763 280.091684892 13 0.110879419763 55.370909338
plain e3 0.092 0.065 1.369 0.092 0.954919952738 476.867449714 22 0.0549199527379 27.4258986059
plain f2 0.065 0.065 1.369 0.092 0.592977081422 296.120599162 20 0 0.0
plain f3 1.369 0.065 1.369 0.092 0.370526085969 185.033132004 6 0.470526085969 234.971082128
transp_med_steep e3 0.305 0.490 1.369 0.305 0.327791903097 163.692557076 5 0.177791903097 88.7856318914
transp_med_steep f2 0.490 0.490 1.369 0.305 0.297651428336 148.641021823 6 0.297651428336 148.641021823
transp_med_steep f3 1.369 0.490 1.369 0.305 0.227718892719 113.718147067 10 0.627718892719 313.46994756
transp_dark e3 1.768 0.305 0.092 1.768 0.600588190961 299.921431248 4 0.800588190961 399.797331494
transp_dark f2 0.305 0.305 0.092 1.768 0.333218627784 166.402552144 6 0.133218627784 66.5266518976
transp_dark f3 0.092 0.305 0.092 1.768 0.552648376353 275.98127054 13 0.00264837635339 1.32254486243
transp_med_steep e3 0.305 0.730 1.023 0.305 0.899679636801 449.281568294 14 0.299679636801 149.653867555
transp_med_steep f2 0.730 0.730 1.023 0.305 0.659983201281 329.582081877 4 0.459983201281 229.706181631
transp_med_steep f3 1.023 0.730 1.023 0.305 0.898444805641 448.664918925 7 0.548444805641 273.882093494
shadow e3 1.369 0.092 1.768 1.369 0.160561622182 80.1811828022 10 0.360561622182 180.057083048
shadow f2 0.092 0.092 1.768 1.369 0.623376682487 311.30153678 15 0 0.0
shadow f3 1.768 0.092 1.768 1.369 0.820266185588 409.624118636 8 0.620266185588 309.74821839
transp_dark e3 0.490 0.305 1.768 0.490 0.743873888744 371.47537154 11 0.193873888744 96.8166458628
transp_dark f2 0.305 0.305 1.768 0.490 0.629324591741 314.271800736 8 0.229324591741 114.520000244
transp_dark f3 1.768 0.305 1.768 0.490 0.448036353173 223.740170581 4 0.548036353173 273.678120704
transp_dark_steep e3 0.490 1.369 0.730 0.490 0.253110391376 126.398141002 3 0.203110391376 101.42916594
transp_dark_steep f2 1.369 1.369 0.730 0.490 0.900169722496 449.526307044 8 0.600169722496 299.712456674
transp_dark_steep f3 0.730 1.369 0.730 0.490 0.639891412207 319.54865427 7 0.389891412207 194.703778962
transp_dark e3 1.369 0.171 0.490 1.369 0.534448138972 266.892445074 2 0.434448138972 216.954494951
transp_dark f2 0.171 0.171 0.490 1.369 0.620199923799 309.715128611 12 0.120199923799 60.0253779949
transp_dark f3 0.490 0.171 0.490 1.369 0.389364079068 194.440439602 2 0.289364079068 144.502489479
transp_med_steep e3 0.171 0.065 1.768 0.171 0.712225767959 355.670948768 19 0.15 74.9069251847
transp_med_steep f2 0.065 0.065 1.768 0.171 0.921991528589 460.423669686 16 0.121991528589 60.9200687012
transp_med_steep f3 1.768 0.065 1.768 0.171 0.153150933619 76.4804368439 13 0.603150933619 301.201212398
transp_dark_steep e3 0.490 0.065 1.768 0.490 0.0240655314415 12.0178330881 7 0.15 74.9069251847
transp_dark_steep f2 0.065 0.065 1.768 0.490 0.903293254152 451.086134724 21 0 0.0
transp_dark_steep f3 1.768 0.065 1.768 0.490 0.791081353005 395.049811497 6 0.591081353005 295.173911251
transp_dark_steep e3 0.490 0.171 0.092 0.490 0.655849202418 327.517647587 11 0.205849202418 102.796872032
transp_dark_steep f2 0.171 0.171 0.092 0.490 0.965830487677 482.31594721 18 0.0658304876773 32.8743961021
transp_dark_steep f3 0.092 0.171 0.092 0.490 0.172100997648 85.9437103669 9 0.05 24.9689750616
transp_dark_steep e3 1.768 0.305 1.369 1.768 0.474072470148 236.74207369 0 0.474072470148 236.74207369
transp_dark_steep f2 0.305 0.305 1.369 1.768 0.738090980878 368.587505894 14 0.138090980878 68.9598051552
transp_dark_steep f3 1.369 0.305 1.369 1.768 0.701846371014 350.487690698 7 0.351846371014 175.704865267
transp_dark_steep e3 0.305 0.490 2.220 0.305 0.754848762619 376.955998582 12 0.154848762619 77.3282978431
transp_dark_steep f2 0.490 0.490 2.220 0.305 0.325910855425 162.753200428 2 0.225910855425 112.815250305
transp_dark_steep f3 2.220 0.490 2.220 0.305 0.463680668443 231.552620938 3 0.513680668443 256.521595999
transp_dark_steep e3 0.730 2.220 0.171 0.730 0.397326366018 198.416642488 3 0.247326366018 123.509717303
transp_dark_steep f2 2.220 2.220 0.171 0.730 0.654726017793 326.956752209 2 0.554726017793 277.018802085
transp_dark_steep f3 0.171 2.220 0.171 0.730 0.711786622866 355.45164871 20 0.05 24.9689750616
transp_med_steep e3 1.023 0.490 0.305 1.023 0.789452481754 394.236386584 10 0.489452481754 244.422536215
transp_med_steep f2 0.490 0.490 0.305 1.023 0.445632613042 222.539792034 3 0.295632613042 147.632866849
transp_med_steep f3 0.305 0.490 0.305 1.023 0.606634025742 302.940597205 9 0.156634025742 78.2198216508
transp_dark e3 1.023 1.369 2.220 1.023 0.1270746259 63.458463301 8 0.3270746259 163.334363547
transp_dark f2 1.369 1.369 2.220 1.023 0.561441952067 280.372601993 8 0.261441952067 130.558751624
transp_dark f3 2.220 1.369 2.220 1.023 0.539164419815 269.247659049 0 0.539164419815 269.247659049
shadow e3 1.023 1.369 0.092 1.023 0.476510944036 237.959797564 7 0.326510944036 163.052872379
shadow f2 1.369 1.369 0.092 1.023 0.325150921154 162.373704831 3 0.275150921154 137.404729769
shadow f3 0.092 1.369 0.092 1.023 0.7927608653 395.888525509 18 0 0.0
plain e3 1.768 0.490 1.023 1.768 0.700586798717 349.858686113 2 0.600586798717 299.920735989
plain f2 0.490 0.490 1.023 1.768 0.0662394249635 33.0786110001 4 0.166239424964 83.0165611233
plain f3 1.023 0.490 1.023 1.768 0.93594600138 467.392247348 10 0.43594600138 217.702496733
transp_med e3 0.171 0.490 1.768 0.171 0.99581206589 497.288132784 20 0.0958120658898 47.846581676
transp_med f2 0.490 0.490 1.768 0.171 0.287373110406 143.508240542 3 0.237373110406 118.53926548
transp_med f3 1.768 0.490 1.768 0.171 0.51734162613 258.349803223 10 0.61734162613 308.287753346
transp_med_steep e3 1.369 0.305 1.023 1.369 0.566416259713 282.856669265 0 0.566416259713 282.856669265
