medium location target_lum f2 f3 e3 start_int start_lum n_changes match_int match_lum
transp_med e3 0.171 2.220 0.730 0.171 0.789364660418 394.192530409 32 0.35 174.782825431
transp_med f2 2.220 2.220 0.730 0.171 0.548564694454 273.941963509 10 0.248564694454 124.12811314
transp_med f3 0.730 2.220 0.730 0.171 0.761461353172 380.258190754 7 0.411461353172 205.475365323
shadow e3 0.730 0.171 1.023 0.730 0.10969746358 54.7806646489 5 0.25969746358 129.687589834
shadow f2 0.171 0.171 1.023 0.730 0.880613960162 439.760560203 19 0.0306139601624 15.2879841566
shadow f3 1.023 0.171 1.023 0.730 0.556432317218 277.870893041 2 0.456432317218 227.932942918
shadow e3 0.490 1.023 0.092 0.490 0.918090160708 458.47540654 15 0.168090160708 83.9407806162
shadow f2 1.023 1.023 0.092 0.490 0.150445681827 75.1294895532 9 0.400445681827 199.974364861
shadow f3 0.092 1.023 0.092 0.490 0.0627333962608 31.3277721353 19 0.025 12.4844875308
shadow e3 0.065 1.768 1.369 0.065 0.0597734441775 29.8496327402 4 0 0.0
shadow f2 1.768 1.768 1.369 0.065 0.882344967252 440.62498966 8 0.482344967252 240.873189168
shadow f3 1.369 1.768 1.369 0.065 0.290723725464 145.181469019 3 0.340723725464 170.15044408
shadow e3 1.768 2.220 0.490 1.768 0.417675027665 208.578346992 2 0.317675027665 158.640396869
shadow f2 2.220 2.220 0.490 1.768 0.599187278113 299.221844088 6 0.499187278113 249.283893965
shadow f3 0.490 2.220 0.490 1.768 0.720394997218 359.7504944 12 0.120394997218 60.1227936615
transp_med e3 0.171 0.092 0.065 0.171 0.397480685353 198.493706401 17 0.142480685353 71.1519335867
transp_med f2 0.092 0.092 0.065 0.171 0.563511098304 281.405891209 8 0.463511098304 231.467941086
transp_med f3 0.065 0.092 0.065 0.171 0.870006700571 434.463512199 25 0.260006700571 129.842016448
transp_med e3 1.768 0.730 1.369 1.768 0.209916532851 104.828013475 5 0.459916532851 229.672888783
transp_med f2 0.730 0.730 1.369 1.768 0.247603666823 123.648195641 5 0.332603666823 166.095453246
transp_med f3 1.369 0.730 1.369 1.768 0.798220831384 398.615120649 6 0.498220831384 248.80127028
transp_med_steep e3 1.768 0.730 2.220 1.768 0.440557847661 220.005558229 4 0.540557847661 269.943508352
transp_med_steep f2 0.730 0.730 2.220 1.768 0.927699155993 463.273941813 11 0.377699155993 188.615216135
transp_med_steep f3 2.220 0.730 2.220 1.768 0.896747624971 447.817381688 6 0.596747624971 298.003531319
