medium location target_lum D1 D2 D3 D4 E1 E2 E3 E4 F1 F2 F3 F4 G1 G2 G3 G4 f2_refl f3_refl e3_refl start_int start_lum n_changes match_int match_lum
plain e3 0.171 0.01960784 0.02745098 0.34509804 0.25490196 0.43921569 0.16078431 0.05882353 0.05882353 0.05490196 0.01960784 0.10588235 0.80784314 0.44705882 0.05490196 0.62745098 0.0627451 0.065 0.305 0.171 0.7759960728 387.516531778 18 0.1009960728 50.4353684467
plain f2 0.065 0.01960784 0.02745098 0.34509804 0.25490196 0.43921569 0.16078431 0.05882353 0.05882353 0.05490196 0.01960784 0.10588235 0.80784314 0.44705882 0.05490196 0.62745098 0.0627451 0.065 0.305 0.171 0.2922684253 145.952860475 13 0.02 9.9875900246
plain f3 0.305 0.01960784 0.02745098 0.34509804 0.25490196 0.43921569 0.16078431 0.05882353 0.05882353 0.05490196 0.01960784 0.10588235 0.80784314 0.44705882 0.05490196 0.62745098 0.0627451 0.065 0.305 0.171 0.6467412468 322.969321261 10 0.1467412468 73.2795706449
plain e3 0.171 0.01960784 0.02745098 0.34509804 0.25490196 0.43921569 0.16078431 0.05882353 0.05882353 0.05490196 0.01960784 0.10588235 0.80784314 0.44705882 0.05490196 0.62745098 0.0627451 0.065 0.305 0.171 0.6439885115 321.594661649 11 0.0939885115 46.9359359715
plain f2 0.065 0.01960784 0.02745098 0.34509804 0.25490196 0.43921569 0.16078431 0.05882353 0.05882353 0.05490196 0.01960784 0.10588235 0.80784314 0.44705882 0.05490196 0.62745098 0.0627451 0.065 0.305 0.171 0.3311910379 165.390015308 6 0.0311910379 15.5761649381
plain f3 0.305 0.01960784 0.02745098 0.34509804 0.25490196 0.43921569 0.16078431 0.05882353 0.05882353 0.05490196 0.01960784 0.10588235 0.80784314 0.44705882 0.05490196 0.62745098 0.0627451 0.065 0.305 0.171 0.3797046609 189.616724175 5 0.1297046609 64.7718488673
plain e3 2.22 0.32156863 0.09803922 0.59607843 0.10588235 0.05490196 0.3372549 0.76470588 0.36470588 0.57254902 0.01960784 0.35686275 0.49803922 0.09803922 0.10196078 0.78431373 0.50588235 0.065 1.023 2.22 0.7640549223 381.553366003 1 0.7140549223 356.584390942
plain f2 0.065 0.32156863 0.09803922 0.59607843 0.10588235 0.05490196 0.3372549 0.76470588 0.36470588 0.57254902 0.01960784 0.35686275 0.49803922 0.09803922 0.10196078 0.78431373 0.50588235 0.065 1.023 2.22 0.4357735073 217.616356703 13 0.0307735073 15.3676587041
plain f3 1.023 0.32156863 0.09803922 0.59607843 0.10588235 0.05490196 0.3372549 0.76470588 0.36470588 0.57254902 0.01960784 0.35686275 0.49803922 0.09803922 0.10196078 0.78431373 0.50588235 0.065 1.023 2.22 0.0355650813 17.7604725601 5 0.2855650813 142.605347868
plain e3 2.22 0.32156863 0.09803922 0.59607843 0.10588235 0.05490196 0.3372549 0.76470588 0.36470588 0.57254902 0.01960784 0.35686275 0.49803922 0.09803922 0.10196078 0.78431373 0.50588235 0.065 1.023 2.22 0.1612240549 80.5119881385 12 0.7612240549 380.139688877
plain f2 0.065 0.32156863 0.09803922 0.59607843 0.10588235 0.05490196 0.3372549 0.76470588 0.36470588 0.57254902 0.01960784 0.35686275 0.49803922 0.09803922 0.10196078 0.78431373 0.50588235 0.065 1.023 2.22 0.0233544695 11.6627433456 8 0.02 9.9875900246
plain f3 1.023 0.32156863 0.09803922 0.59607843 0.10588235 0.05490196 0.3372549 0.76470588 0.36470588 0.57254902 0.01960784 0.35686275 0.49803922 0.09803922 0.10196078 0.78431373 0.50588235 0.065 1.023 2.22 0.2683561182 134.011544459 12 0.3733561182 186.446392088
plain e3 0.092 0.70196078 0.05490196 0.01960784 0.16862745 0.01960784 0.16078431 0.03137255 0.03137255 0.57254902 0.01960784 0.47843137 0.05882353 0.01960784 0.01960784 0.62745098 0.65490196 0.065 1.369 0.092 0.9499201913 474.370671326 18 0.0499201913 24.9291202172
