medium version intensity reflectance luminance
plain 10 5 0.49 90
plain 1 10 2.22 395
plain 11 6 0.73 132
plain 12 5 0.49 90
plain 13 3 0.171 33
plain 14 8 1.369 244
plain 15 9 1.768 314
plain 2 2 0.092 19
plain 3 6 0.73 132
plain 4 8 1.369 243
plain 5 10 2.22 396
plain 6 8 1.369 244
plain 7 4 0.305 58
plain 8 10 2.22 397
plain 9 1 0.065 15
shadow 10 3 0.171 12
shadow 11 3 0.171 12
shadow 12 9 1.768 97
shadow 13 6 0.73 41
shadow 14 6 0.73 41
shadow 1 4 0.305 19
shadow 15 8 1.369 74
shadow 2 1 0.065 6
shadow 3 3 0.171 13
shadow 4 10 2.22 119
shadow 5 6 0.73 41
shadow 6 10 2.22 119
shadow 7 4 0.305 18
shadow 8 7 1.023 57
shadow 9 6 0.73 41
transp_dark 10 6 0.73 42
transp_dark 11 1 0.065 20
transp_dark 12 9 1.768 80
transp_dark 13 10 2.22 96
transp_dark 14 10 2.22 96
transp_dark 15 8 1.369 66
transp_dark 1 6 0.73 43
transp_dark 2 5 0.49 34
transp_dark 3 7 1.023 53
transp_dark 4 8 1.369 65
transp_dark 5 2 0.092 20
transp_dark 6 9 1.768 80
transp_dark 7 4 0.305 28
transp_dark 8 3 0.171 24
transp_dark 9 10 2.22 96
transp_dark_steep 10 9 1.768 138
transp_dark_steep 11 1 0.065 18
transp_dark_steep 12 4 0.305 35
transp_dark_steep 13 9 1.768 138
transp_dark_steep 14 7 1.023 86
transp_dark_steep 1 4 0.305 35
transp_dark_steep 15 3 0.171 26
transp_dark_steep 2 10 2.22 171
transp_dark_steep 3 5 0.49 49
transp_dark_steep 4 7 1.023 86
transp_dark_steep 5 5 0.49 49
transp_dark_steep 6 10 2.22 171
transp_dark_steep 7 7 1.023 86
transp_dark_steep 8 3 0.171 26
transp_dark_steep 9 1 0.065 18
transp_med 10 4 0.305 140
transp_med 11 7 1.023 164
transp_med 12 4 0.305 140
transp_med 13 1 0.065 132
transp_med 14 2 0.092 132
transp_med 15 3 0.171 136
transp_med 1 5 0.49 146
transp_med 2 2 0.092 132
transp_med 3 6 0.73 154
transp_med 4 3 0.171 136
transp_med 5 9 1.768 191
transp_med 6 10 2.22 207
transp_med 7 1 0.065 132
transp_med 8 5 0.49 146
transp_med 9 10 2.22 207
transp_med_steep 10 8 1.369 193
transp_med_steep 11 4 0.305 119
transp_med_steep 12 2 0.092 105
transp_med_steep 13 10 2.22 253
transp_med_steep 14 8 1.369 193
transp_med_steep 15 4 0.305 120
